"filename", "language", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\gabri\Documents\Projetos\API-CPI\.eslintrc.cjs", "JavaScript", 23, 0, 0, 0, 1, 24
"c:\Users\gabri\Documents\Projetos\API-CPI\.prettierrc", "JSON", 0, 4, 0, 0, 1, 5
"c:\Users\gabri\Documents\Projetos\API-CPI\README.md", "Markdown", 0, 0, 3, 0, 2, 5
"c:\Users\gabri\Documents\Projetos\API-CPI\package.json", "JSON", 0, 43, 0, 0, 1, 44
"c:\Users\gabri\Documents\Projetos\API-CPI\src\app.js", "JavaScript", 52, 0, 0, 25, 18, 95
"c:\Users\gabri\Documents\Projetos\API-CPI\src\config\database.js", "JavaScript", 18, 0, 0, 0, 4, 22
"c:\Users\gabri\Documents\Projetos\API-CPI\src\controllers\stocksController.js", "JavaScript", 54, 0, 0, 10, 13, 77
"c:\Users\gabri\Documents\Projetos\API-CPI\src\controllers\tokenController.js", "JavaScript", 18, 0, 0, 1, 7, 26
"c:\Users\gabri\Documents\Projetos\API-CPI\src\controllers\userController.js", "JavaScript", 56, 0, 0, 0, 10, 66
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\index.js", "JavaScript", 16, 0, 0, 2, 5, 23
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230711200900-users.cjs", "JavaScript", 43, 0, 0, 1, 9, 53
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230711210029-user_add_active_column.cjs", "JavaScript", 13, 0, 0, 1, 2, 16
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230711211143-user_add_password_column.cjs", "JavaScript", 13, 0, 0, 1, 2, 16
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230711211253-user_remaster.cjs", "JavaScript", 20, 0, 0, 1, 4, 25
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230715224122-users_chart.cjs", "JavaScript", 60, 0, 0, 1, 13, 74
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230721021627-stocks.cjs", "JavaScript", 44, 0, 0, 1, 8, 53
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230721031211-stocks_change_companyName.cjs", "JavaScript", 8, 0, 0, 1, 3, 12
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230721031336-stocks_change_actualPrice.cjs", "JavaScript", 8, 0, 0, 1, 3, 12
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230721152343-stocks_change_tickeToUnique.cjs", "JavaScript", 16, 0, 0, 1, 2, 19
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230722024009-userChart_Constraint.cjs", "JavaScript", 11, 0, 0, 1, 2, 14
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230725013726-Transations.cjs", "JavaScript", 43, 0, 0, 1, 9, 53
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230725015135-Transations_types_update.cjs", "JavaScript", 11, 0, 0, 1, 2, 14
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230725020342-Transations_date.cjs", "JavaScript", 8, 0, 0, 1, 1, 10
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230725021620-Transation_updated.cjs", "JavaScript", 9, 0, 0, 1, 2, 12
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230726000344-Transation_typeCode.cjs", "JavaScript", 9, 0, 0, 1, 2, 12
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230726000740-UserChart_medianPrice.cjs", "JavaScript", 6, 0, 0, 1, 2, 9
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230728220926-ChartHistory.cjs", "JavaScript", 38, 0, 0, 1, 7, 46
"c:\Users\gabri\Documents\Projetos\API-CPI\src\database\migrations\20230728225115-ChartHistory_total_and_created_updated.cjs", "JavaScript", 21, 0, 0, 1, 4, 26
"c:\Users\gabri\Documents\Projetos\API-CPI\src\json\stockDatas.json", "JSON", 0, 0, 0, 0, 1, 1
"c:\Users\gabri\Documents\Projetos\API-CPI\src\json\tickers.json", "JSON", 0, 989, 0, 0, 0, 989
"c:\Users\gabri\Documents\Projetos\API-CPI\src\middleware\adminMiddleware.js", "JavaScript", 8, 0, 0, 1, 3, 12
"c:\Users\gabri\Documents\Projetos\API-CPI\src\middleware\loginMiddleware.js", "JavaScript", 16, 0, 0, 1, 5, 22
"c:\Users\gabri\Documents\Projetos\API-CPI\src\models\HistoryChart.js", "JavaScript", 110, 0, 0, 7, 28, 145
"c:\Users\gabri\Documents\Projetos\API-CPI\src\models\Stock.js", "JavaScript", 113, 0, 0, 3, 19, 135
"c:\Users\gabri\Documents\Projetos\API-CPI\src\models\Transation.js", "JavaScript", 91, 0, 0, 10, 20, 121
"c:\Users\gabri\Documents\Projetos\API-CPI\src\models\User.js", "JavaScript", 97, 0, 0, 3, 12, 112
"c:\Users\gabri\Documents\Projetos\API-CPI\src\models\UserChart.js", "JavaScript", 174, 0, 0, 4, 41, 219
"c:\Users\gabri\Documents\Projetos\API-CPI\src\routes\stocksRouter.js", "JavaScript", 10, 0, 0, 0, 5, 15
"c:\Users\gabri\Documents\Projetos\API-CPI\src\routes\tokenRoutes.js", "JavaScript", 5, 0, 0, 0, 5, 10
"c:\Users\gabri\Documents\Projetos\API-CPI\src\routes\userRoutes.js", "JavaScript", 9, 0, 0, 0, 5, 14
"c:\Users\gabri\Documents\Projetos\API-CPI\src\server.js", "JavaScript", 7, 0, 0, 0, 3, 10
"c:\Users\gabri\Documents\Projetos\API-CPI\src\utils\controllersExtra.js", "JavaScript", 17, 0, 0, 0, 4, 21
"c:\Users\gabri\Documents\Projetos\API-CPI\src\utils\getFuncions.js", "JavaScript", 305, 0, 0, 29, 64, 398
"Total", "-", 1580, 1036, 3, 114, 354, 3087
